,idx,G-Mean,class-0,class-1,class-2,class-3,class-4,class-5,class-6,class-7,class-8,class-9,drifts_alerts
0,500,0.0,0.48936170212765956,0.20588235294117646,0.375,0.0,0.3191489361702128,0.4423076923076923,0.03225806451612903,0.3181818181818182,0.02857142857142857,0.03125,2
1,1000,0.2651352342312298,0.4939759036144578,0.4268292682926829,0.45121951219512196,0.1276595744680851,0.41836734693877553,0.45652173913043476,0.39,0.5,0.058823529411764705,0.06451612903225806,2
2,1500,0.3168056312975704,0.5,0.4838709677419355,0.46835443037974683,0.15942028985507245,0.4673913043478261,0.46236559139784944,0.4069767441860465,0.5,0.25,0.05128205128205128,0
3,2000,0.3346133651924413,0.49411764705882355,0.4948453608247423,0.45977011494252873,0.13114754098360656,0.4342105263157895,0.47863247863247865,0.4752475247524752,0.4864864864864865,0.288135593220339,0.08620689655172414,2
4,2500,0.34255141422104407,0.4943820224719101,0.49,0.44155844155844154,0.15942028985507245,0.4270833333333333,0.4742268041237113,0.45652173913043476,0.5,0.25396825396825395,0.1111111111111111,0
5,3000,0.37875076196406143,0.4666666666666667,0.48514851485148514,0.4421052631578947,0.22950819672131148,0.43243243243243246,0.4787234042553192,0.45454545454545453,0.49523809523809526,0.3142857142857143,0.18055555555555555,0
6,3500,0.38053914821097556,0.48936170212765956,0.49586776859504134,0.47,0.16393442622950818,0.38095238095238093,0.4794520547945205,0.4838709677419355,0.48148148148148145,0.29347826086956524,0.2727272727272727,0
7,4000,0.3651842228585549,0.5,0.4953271028037383,0.41333333333333333,0.12727272727272726,0.4444444444444444,0.45132743362831856,0.46,0.5,0.2807017543859649,0.25,0
8,4500,0.38695046636941544,0.4948453608247423,0.49056603773584906,0.42990654205607476,0.2676056338028169,0.45454545454545453,0.49411764705882355,0.4774774774774775,0.4946236559139785,0.2878787878787879,0.17647058823529413,2
9,5000,0.3978623997178404,0.494949494949495,0.5,0.425,0.21621621621621623,0.42857142857142855,0.46956521739130436,0.4807692307692308,0.4891304347826087,0.3283582089552239,0.28125,0
10,5500,0.40798959447804745,0.48863636363636365,0.49038461538461536,0.45161290322580644,0.23529411764705882,0.42990654205607476,0.4782608695652174,0.4716981132075472,0.5,0.3548387096774194,0.2916666666666667,2
