,idx,G-Mean,class-0,class-1,class-2,class-3,class-4,class-5,class-6,class-7,class-8,class-9,drifts_alerts
0,500,0.0,0.48936170212765956,0.20588235294117646,0.3939393939393939,0.0,0.36,0.43137254901960786,0.03225806451612903,0.4117647058823529,0.02857142857142857,0.03125,1
1,1000,0.31380473921285823,0.48148148148148145,0.43373493975903615,0.45121951219512196,0.1276595744680851,0.41237113402061853,0.4444444444444444,0.39603960396039606,0.5,0.15789473684210525,0.13432835820895522,1
2,1500,0.31560964655192003,0.5,0.4838709677419355,0.46835443037974683,0.17142857142857143,0.4673913043478261,0.45054945054945056,0.4069767441860465,0.5,0.22972972972972974,0.05128205128205128,0
3,2000,0.31093045687467286,0.5,0.4895833333333333,0.47191011235955055,0.05357142857142857,0.4342105263157895,0.45535714285714285,0.4479166666666667,0.4864864864864865,0.3114754098360656,0.1016949152542373,0
4,2500,0.3332279608465914,0.4943820224719101,0.49,0.45569620253164556,0.13432835820895522,0.4148936170212766,0.4742268041237113,0.4318181818181818,0.5,0.27692307692307694,0.0967741935483871,0
5,3000,0.37908940893071413,0.4716981132075472,0.48514851485148514,0.45918367346938777,0.3188405797101449,0.4246575342465753,0.4731182795698925,0.4473684210526316,0.49523809523809526,0.2835820895522388,0.14492753623188406,0
6,3500,0.39368878434988447,0.5,0.49586776859504134,0.4752475247524752,0.32894736842105265,0.35,0.4864864864864865,0.4666666666666667,0.48148148148148145,0.26136363636363635,0.23076923076923078,0
7,4000,0.38963814200912394,0.5,0.4953271028037383,0.42857142857142855,0.29411764705882354,0.4444444444444444,0.4700854700854701,0.45454545454545453,0.5,0.26785714285714285,0.203125,0
8,4500,0.39248850402470603,0.5,0.49056603773584906,0.42990654205607476,0.3157894736842105,0.4418604651162791,0.49411764705882355,0.45794392523364486,0.4946236559139785,0.29850746268656714,0.17647058823529413,0
9,5000,0.39881221140020423,0.494949494949495,0.5,0.4177215189873418,0.26582278481012656,0.41333333333333333,0.47413793103448276,0.47058823529411764,0.4891304347826087,0.3181818181818182,0.25806451612903225,0
10,5500,0.40401083072974003,0.4827586206896552,0.49038461538461536,0.4603174603174603,0.2571428571428571,0.4077669902912621,0.4838709677419355,0.4666666666666667,0.5,0.3442622950819672,0.2608695652173913,0
11,6000,0.4090435514547211,0.5,0.4954954954954955,0.47297297297297297,0.27419354838709675,0.41,0.4823529411764706,0.4845360824742268,0.4897959183673469,0.3333333333333333,0.2608695652173913,1
12,6500,0.4146419733288364,0.49473684210526314,0.5,0.46835443037974683,0.28205128205128205,0.38823529411764707,0.4691358024691358,0.4791666666666667,0.4835164835164835,0.3763440860215054,0.2894736842105263,0
13,7000,0.42735936190753604,0.49,0.5,0.45121951219512196,0.44,0.3953488372093023,0.5,0.4793388429752066,0.4752475247524752,0.39759036144578314,0.23333333333333334,0
14,7500,0.43978743076977295,0.48672566371681414,0.5,0.4430379746835443,0.44545454545454544,0.4392523364485981,0.4845360824742268,0.47058823529411764,0.5,0.373134328358209,0.30158730158730157,0
15,8000,0.43850411528107097,0.5,0.4897959183673469,0.45161290322580644,0.45794392523364486,0.42857142857142855,0.47058823529411764,0.4666666666666667,0.49038461538461536,0.373134328358209,0.3013698630136986,0
16,8500,0.44558785260184813,0.4939759036144578,0.49038461538461536,0.4857142857142857,0.4367816091954023,0.4358974358974359,0.47474747474747475,0.45794392523364486,0.4953271028037383,0.38372093023255816,0.3333333333333333,1
17,9000,0.4502346461450858,0.49523809523809526,0.49640287769784175,0.47560975609756095,0.45263157894736844,0.46774193548387094,0.46511627906976744,0.4358974358974359,0.49122807017543857,0.39080459770114945,0.35526315789473684,0
18,9500,0.4560288640665277,0.49,0.5,0.4666666666666667,0.48214285714285715,0.40217391304347827,0.49333333333333335,0.46464646464646464,0.4936708860759494,0.47706422018348627,0.325,0
19,10000,0.46498755202436076,0.5,0.4946236559139785,0.47,0.49523809523809526,0.44,0.47674418604651164,0.47,0.48863636363636365,0.4606741573033708,0.3698630136986301,0
20,10500,0.46188577892812555,0.48484848484848486,0.4880952380952381,0.46153846153846156,0.47368421052631576,0.45161290322580644,0.4791666666666667,0.45569620253164556,0.49557522123893805,0.4318181818181818,0.40476190476190477,0
21,11000,0.45098333079417613,0.5,0.5,0.4457831325301205,0.4732142857142857,0.4230769230769231,0.45652173913043476,0.4659090909090909,0.5,0.43333333333333335,0.3384615384615385,0
22,11500,0.46756935189722393,0.5,0.4948453608247423,0.4766355140186916,0.49193548387096775,0.42857142857142855,0.47674418604651164,0.45918367346938777,0.48936170212765956,0.45,0.4166666666666667,0
23,12000,0.4599532607002772,0.4931506849315068,0.49586776859504134,0.4777777777777778,0.47368421052631576,0.42528735632183906,0.48,0.43373493975903615,0.5,0.3953488372093023,0.4375,0
24,12500,0.4662725365735216,0.5,0.494949494949495,0.4473684210526316,0.4854368932038835,0.4444444444444444,0.46296296296296297,0.49019607843137253,0.49382716049382713,0.43010752688172044,0.421875,0
25,13000,0.47461892026706043,0.5,0.4838709677419355,0.47368421052631576,0.49504950495049505,0.4444444444444444,0.49382716049382713,0.4782608695652174,0.5,0.4418604651162791,0.44086021505376344,0
26,13500,0.46594212302296645,0.5,0.5,0.4523809523809524,0.4842105263157895,0.43529411764705883,0.49056603773584906,0.4583333333333333,0.49,0.42528735632183906,0.4318181818181818,0
27,14000,0.46627765884786115,0.49557522123893805,0.49504950495049505,0.48148148148148145,0.48484848484848486,0.40625,0.4666666666666667,0.4691358024691358,0.4852941176470588,0.45054945054945056,0.43617021276595747,0
28,14500,0.4597728384863567,0.5,0.4782608695652174,0.47368421052631576,0.475,0.4155844155844156,0.4787234042553192,0.4583333333333333,0.49504950495049505,0.45454545454545453,0.38235294117647056,0
