,idx,G-Mean,class-0,class-1,class-2,class-3,class-4,drifts_alerts
0,500,0.3692696271500409,0.32,0.40384615384615385,0.37755102040816324,0.38144329896907214,0.36893203883495146,2
1,1000,0.3835062221732501,0.4105960264900662,0.41496598639455784,0.3515151515151515,0.4321608040201005,0.32051282051282054,0
2,1500,0.3963491687868136,0.38596491228070173,0.4350282485875706,0.3888888888888889,0.4371584699453552,0.34265734265734266,2
3,2000,0.404753483470342,0.4025974025974026,0.4152046783625731,0.38095238095238093,0.45,0.3790849673202614,0
4,2500,0.40498563997541553,0.42168674698795183,0.44505494505494503,0.3727810650887574,0.3987341772151899,0.3905325443786982,0
5,3000,0.4000499326292849,0.41621621621621624,0.4152046783625731,0.38095238095238093,0.42424242424242425,0.3668639053254438,0
6,3500,0.4211324883755054,0.43523316062176165,0.43169398907103823,0.35294117647058826,0.4619289340101523,0.43243243243243246,0
7,4000,0.46444048445216013,0.4378698224852071,0.48314606741573035,0.45365853658536587,0.49074074074074076,0.4588235294117647,2
8,4500,0.47458309246480074,0.4607329842931937,0.4863636363636364,0.47398843930635837,0.4852941176470588,0.46706586826347307,2
9,5000,0.4732791549570426,0.46808510638297873,0.48258706467661694,0.4642857142857143,0.4975124378109453,0.4550898203592814,0
10,5500,0.4791410213898663,0.4731182795698925,0.48502994011976047,0.48095238095238096,0.4890829694323144,0.4678362573099415,2
11,6000,0.4781568132238617,0.47685185185185186,0.48466257668711654,0.485,0.48186528497409326,0.4627659574468085,0
12,6500,0.47888164393010324,0.4734042553191489,0.4842105263157895,0.483695652173913,0.49214659685863876,0.46153846153846156,0
13,7000,0.4821335280707889,0.4834123222748815,0.48214285714285715,0.489010989010989,0.48672566371681414,0.4696132596685083,0
14,7500,0.48311782490285987,0.4744897959183674,0.4927536231884058,0.4883720930232558,0.4947916666666667,0.4658385093167702,0
15,8000,0.47470551945045847,0.478494623655914,0.48095238095238096,0.48333333333333334,0.4784688995215311,0.45294117647058824,0
16,8500,0.4804443933245938,0.47802197802197804,0.4785276073619632,0.4782608695652174,0.49321266968325794,0.4744186046511628,1
17,9000,0.48394616755980635,0.4675324675324675,0.4864864864864865,0.5,0.49504950495049505,0.47150259067357514,0
18,9500,0.4825671123519897,0.4854368932038835,0.4869109947643979,0.47752808988764045,0.4918032786885246,0.4714285714285714,0
19,10000,0.4787089223373414,0.48223350253807107,0.48792270531400966,0.4873096446700508,0.4869109947643979,0.4502923976608187,0
20,10500,0.48169388174836275,0.4777777777777778,0.48292682926829267,0.4873096446700508,0.4897959183673469,0.4708994708994709,0
21,11000,0.47370692216443144,0.45789473684210524,0.4927536231884058,0.47802197802197804,0.4876847290640394,0.45348837209302323,0
22,11500,0.4847579704250087,0.47904191616766467,0.4892703862660944,0.4873096446700508,0.48205128205128206,0.4861878453038674,0
23,12000,0.4813232528750548,0.4585635359116022,0.49528301886792453,0.49142857142857144,0.49246231155778897,0.47,0
24,12500,0.48073568499646807,0.4666666666666667,0.4919786096256685,0.4869109947643979,0.48333333333333334,0.47520661157024796,0
25,13000,0.4752932508074828,0.4636363636363636,0.49444444444444446,0.49162011173184356,0.46842105263157896,0.4594594594594595,0
26,13500,0.48763508315596626,0.47668393782383417,0.4973544973544973,0.47959183673469385,0.4950980392156863,0.4897959183673469,0
27,14000,0.4848512825520786,0.4881516587677725,0.49765258215962443,0.4801980198019802,0.4868421052631579,0.4717948717948718,0
28,14500,0.48689867958025745,0.47701149425287354,0.4925373134328358,0.48633879781420764,0.4950980392156863,0.48372093023255813,0
29,15000,0.48615805078759866,0.4807692307692308,0.4945054945054945,0.47783251231527096,0.4951923076923077,0.4827586206896552,0
30,15500,0.4877833932846392,0.48128342245989303,0.49390243902439024,0.4801980198019802,0.49514563106796117,0.4885844748858447,0
31,16000,0.48570355932972137,0.49099099099099097,0.4860335195530726,0.485,0.49489795918367346,0.47191011235955055,0
32,16500,0.48635229065987484,0.47150259067357514,0.483695652173913,0.49222797927461137,0.4954545454545455,0.489247311827957,0
33,17000,0.4856982717421281,0.4838709677419355,0.4906832298136646,0.4976303317535545,0.48295454545454547,0.47368421052631576,0
34,17500,0.48905141310435,0.48484848484848486,0.49333333333333335,0.4972677595628415,0.4819277108433735,0.4880382775119617,0
35,18000,0.4873228694448855,0.4793814432989691,0.4972375690607735,0.4864864864864865,0.48623853211009177,0.48743718592964824,0
36,18500,0.49225640935180165,0.48623853211009177,0.5,0.49142857142857144,0.49056603773584906,0.4931506849315068,0
37,19000,0.48634395188782115,0.47305389221556887,0.49222797927461137,0.4939271255060729,0.4919786096256685,0.4808743169398907,1
38,19500,0.4875977170840406,0.4829059829059829,0.49032258064516127,0.4824120603015075,0.5,0.48258706467661694,0
