,idx,G-Mean,class-0,class-1,class-2,class-3,class-4,drifts_alerts
0,500,0.27146350693866644,0.44565217391304346,0.44144144144144143,0.47413793103448276,0.0625,0.25287356321839083,0
1,1000,0.433049470450914,0.4506172839506173,0.4304635761589404,0.4729064039408867,0.45933014354066987,0.3614457831325301,1
2,1500,0.45312358787188783,0.467005076142132,0.4444444444444444,0.484375,0.4690721649484536,0.4050632911392405,0
3,2000,0.4484211107673857,0.4523809523809524,0.441340782122905,0.48514851485148514,0.4835680751173709,0.3870967741935484,0
4,2500,0.44556583586958126,0.45454545454545453,0.4739583333333333,0.47,0.46629213483146065,0.3719512195121951,0
5,3000,0.4567059683615469,0.46,0.4594594594594595,0.4858757062146893,0.489247311827957,0.3954802259887006,0
6,3500,0.46805218880757393,0.4858490566037736,0.46938775510204084,0.4726027397260274,0.4854368932038835,0.42934782608695654,0
7,4000,0.47389677444026584,0.4946808510638298,0.4860335195530726,0.4766355140186916,0.49074074074074076,0.425,0
8,4500,0.47520323299668044,0.49261083743842365,0.48868778280542985,0.48295454545454547,0.4852941176470588,0.42948717948717946,0
9,5000,0.4784369217089809,0.49238578680203043,0.48258706467661694,0.4927536231884058,0.4846938775510204,0.44171779141104295,0
10,5500,0.47773819415099206,0.4948453608247423,0.4911242603550296,0.49065420560747663,0.48,0.43478260869565216,0
11,6000,0.4705251030265379,0.49099099099099097,0.4909090909090909,0.4744897959183674,0.4845360824742268,0.4161849710982659,0
12,6500,0.4779831160777313,0.5,0.4869109947643979,0.483695652173913,0.478494623655914,0.4427860696517413,0
13,7000,0.4837571970877435,0.4930232558139535,0.49122807017543857,0.4861878453038674,0.48214285714285715,0.4666666666666667,0
14,7500,0.48433566188441807,0.4975609756097561,0.4878048780487805,0.48598130841121495,0.49214659685863876,0.4591194968553459,1
15,8000,0.48134469404824154,0.49740932642487046,0.4930232558139535,0.4861878453038674,0.4784688995215311,0.45294117647058824,0
16,8500,0.4737809914503103,0.4864864864864865,0.49404761904761907,0.47540983606557374,0.47417840375586856,0.4405940594059406,0
17,9000,0.4827710696922366,0.4896265560165975,0.489247311827957,0.4935897435897436,0.48484848484848486,0.4574468085106383,0
18,9500,0.4820026376883339,0.5,0.49743589743589745,0.48333333333333334,0.48333333333333334,0.44776119402985076,0
19,10000,0.471398559083021,0.4925373134328358,0.4854368932038835,0.4712041884816754,0.49222797927461137,0.41975308641975306,0
20,10500,0.47768128512190006,0.4918918918918919,0.48792270531400966,0.4793814432989691,0.4897959183673469,0.441340782122905,0
21,11000,0.4873660224793642,0.5,0.4951923076923077,0.4919786096256685,0.4876847290640394,0.46285714285714286,0
22,11500,0.47890484653478604,0.5,0.4826086956521739,0.48205128205128206,0.49246231155778897,0.4397590361445783,0
23,12000,0.4809755033887121,0.5,0.49047619047619045,0.4764705882352941,0.495,0.44502617801047123,0
24,12500,0.4756122686944955,0.49714285714285716,0.4973544973544973,0.4702702702702703,0.4861878453038674,0.4304932735426009,0
25,13000,0.4830054705849523,0.4978723404255319,0.5,0.4858757062146893,0.49246231155778897,0.441340782122905,0
26,13500,0.4824397952966382,0.49246231155778897,0.4946808510638298,0.49,0.49261083743842365,0.4444444444444444,0
27,14000,0.4803255091362755,0.4953271028037383,0.4928909952606635,0.4852941176470588,0.4868421052631579,0.44324324324324327,0
28,14500,0.4804649402877661,0.49444444444444446,0.4925373134328358,0.48066298342541436,0.4797979797979798,0.45588235294117646,0
29,15000,0.47734321385388745,0.5,0.4888888888888889,0.48292682926829267,0.4723618090452261,0.4444444444444444,0
30,15500,0.48241269965114625,0.49214659685863876,0.49390243902439024,0.4827586206896552,0.48514851485148514,0.45893719806763283,0
31,16000,0.48225800036882055,0.5,0.4945054945054945,0.4717948717948718,0.4896907216494845,0.45664739884393063,0
32,16500,0.4847641186070256,0.4975369458128079,0.4946808510638298,0.4869109947643979,0.4954545454545455,0.4508670520231214,0
33,17000,0.4850454765582563,0.5,0.49693251533742333,0.4854368932038835,0.4858757062146893,0.458128078817734,0
34,17500,0.48023956359199044,0.5,0.5,0.4860335195530726,0.4658385093167702,0.4512820512820513,0
35,18000,0.47929357480446194,0.49246231155778897,0.49444444444444446,0.4808743169398907,0.48148148148148145,0.4486486486486487,0
36,18500,0.48422607949642466,0.4954954954954955,0.49375,0.49142857142857144,0.4857142857142857,0.45588235294117646,0
37,19000,0.48096060729988577,0.49714285714285716,0.49743589743589745,0.48132780082987553,0.4864864864864865,0.4444444444444444,0
38,19500,0.47603535980496486,0.5,0.48366013071895425,0.4900990099009901,0.4777777777777778,0.43169398907103823,0
39,20000,0.4836275507566526,0.5,0.4869109947643979,0.4742268041237113,0.49246231155778897,0.46534653465346537,0
40,20500,0.4828933777525406,0.49557522123893805,0.4908256880733945,0.48633879781420764,0.4967741935483871,0.44680851063829785,0
41,21000,0.48447119448450693,0.49740932642487046,0.4913294797687861,0.48258706467661694,0.49282296650717705,0.45918367346938777,0
42,21500,0.4834557807566744,0.5,0.4824120603015075,0.49214659685863876,0.49473684210526314,0.44970414201183434,0
43,22000,0.4791045487824343,0.49696969696969695,0.4891304347826087,0.48,0.4786729857819905,0.4519774011299435,0
44,22500,0.4842616107840654,0.4975124378109453,0.49099099099099097,0.48520710059171596,0.49,0.4585635359116022,0
45,23000,0.48382211581573537,0.5,0.49489795918367346,0.4787234042553192,0.4835164835164835,0.46285714285714286,0
46,23500,0.4879660796775489,0.4975609756097561,0.4975124378109453,0.4908256880733945,0.4838709677419355,0.47058823529411764,0
47,24000,0.47982288676926793,0.4927536231884058,0.4888888888888889,0.4739583333333333,0.48743718592964824,0.45698924731182794,0
48,24500,0.4841451287296188,0.4976958525345622,0.4955357142857143,0.489247311827957,0.4835680751173709,0.45588235294117646,0
49,25000,0.4853497069666032,0.5,0.4908256880733945,0.47692307692307695,0.49732620320855614,0.4626865671641791,0
50,25500,0.48092391939609136,0.49162011173184356,0.4975845410628019,0.47953216374269003,0.48598130841121495,0.4512820512820513,0
51,26000,0.48208432688698405,0.5,0.4976303317535545,0.46632124352331605,0.4909090909090909,0.45714285714285713,0
52,26500,0.4818691896340063,0.49101796407185627,0.49537037037037035,0.4790697674418605,0.48554913294797686,0.45918367346938777,0
53,27000,0.4868073036573007,0.49760765550239233,0.4971751412429379,0.47706422018348627,0.4861878453038674,0.47643979057591623,0
54,27500,0.4827364896835474,0.49238578680203043,0.48826291079812206,0.48663101604278075,0.4888888888888889,0.4583333333333333,0
55,28000,0.4905134045120839,0.49732620320855614,0.49214659685863876,0.4891304347826087,0.49783549783549785,0.47643979057591623,1
56,28500,0.4822780692041228,0.4950980392156863,0.49732620320855614,0.4792626728110599,0.49230769230769234,0.4491017964071856,0
57,29000,0.4910309625037036,0.5,0.4977973568281938,0.49710982658959535,0.4888888888888889,0.47191011235955055,0
58,29500,0.48593535168146973,0.5,0.4953271028037383,0.4797687861271676,0.4855769230769231,0.4696132596685083,0
59,30000,0.48922405488280124,0.5,0.5,0.481651376146789,0.4925373134328358,0.4725274725274725,0
60,30500,0.18821040741553657,0.011111111111111112,0.1897810218978102,0.4756756756756757,0.4946808510638298,0.47596153846153844,0
61,31000,0.3768680747468032,0.16822429906542055,0.4217687074829932,0.4807692307692308,0.48878923766816146,0.45595854922279794,0
62,31500,0.44503256178356726,0.33121019108280253,0.4444444444444444,0.4896907216494845,0.4950980392156863,0.4891304347826087,0
63,32000,0.44369012230989285,0.3783783783783784,0.4117647058823529,0.48,0.4930875576036866,0.46629213483146065,0
64,32500,0.451385700835571,0.38064516129032255,0.45698924731182794,0.4803921568627451,0.4808743169398907,0.46632124352331605,0
65,33000,0.451977934648521,0.3793103448275862,0.44751381215469616,0.4858757062146893,0.4946808510638298,0.4623115577889447,0
66,33500,0.45293430130285095,0.3806818181818182,0.45549738219895286,0.4726027397260274,0.49523809523809526,0.4696969696969697,0
67,34000,0.4628420347652361,0.40993788819875776,0.480225988700565,0.47417840375586856,0.48598130841121495,0.4682080924855491,0
68,34500,0.46412921172202665,0.44021739130434784,0.45410628019323673,0.48295454545454547,0.4878048780487805,0.4573170731707317,0
69,35000,0.4670545466267049,0.42196531791907516,0.46938775510204084,0.4878048780487805,0.495,0.4647058823529412,0
70,35500,0.4819571870329389,0.4644808743169399,0.49707602339181284,0.4858490566037736,0.4890829694323144,0.47398843930635837,0
71,36000,0.47957647612564447,0.4719626168224299,0.4909090909090909,0.4824120603015075,0.4845360824742268,0.46842105263157896,1
72,36500,0.4797531886311174,0.4648648648648649,0.49743589743589745,0.4919786096256685,0.48677248677248675,0.45893719806763283,0
73,37000,0.48434097321689157,0.4858490566037736,0.4941860465116279,0.47752808988764045,0.4889867841409692,0.47540983606557374,0
74,37500,0.49143388186546916,0.4900990099009901,0.4927536231884058,0.49074074074074076,0.48947368421052634,0.49411764705882355,0
75,38000,0.4885734220034711,0.48404255319148937,0.49065420560747663,0.4861878453038674,0.4930232558139535,0.489010989010989,0
76,38500,0.48601328028579033,0.489247311827957,0.4970414201183432,0.4810810810810811,0.4885844748858447,0.4744186046511628,0
77,39000,0.485995599105395,0.4896265560165975,0.4973544973544973,0.487012987012987,0.48484848484848486,0.47150259067357514,0
78,39500,0.4875644493030307,0.48792270531400966,0.4948453608247423,0.48333333333333334,0.48333333333333334,0.48847926267281105,0
