,idx,G-Mean,class-0,class-1,class-2,class-3,class-4,class-5,class-6,class-7,class-8,class-9,drifts_alerts
0,500,0.42672176741054973,0.4782608695652174,0.4,0.4444444444444444,0.4634146341463415,0.4666666666666667,0.30952380952380953,0.4915254237288136,0.4444444444444444,0.423728813559322,0.38,0
1,1000,0.4422949231680686,0.46153846153846156,0.4659090909090909,0.4578313253012048,0.4675324675324675,0.45714285714285713,0.40476190476190477,0.49586776859504134,0.43478260869565216,0.4074074074074074,0.3829787234042553,0
2,1500,0.44134097777724374,0.45714285714285713,0.4666666666666667,0.46835443037974683,0.44761904761904764,0.4673913043478261,0.375,0.5,0.42857142857142855,0.42424242424242425,0.39344262295081966,0
3,2000,0.45071334408335145,0.4819277108433735,0.4367816091954023,0.4777777777777778,0.46464646464646464,0.47560975609756095,0.41346153846153844,0.49523809523809526,0.46226415094339623,0.4,0.4111111111111111,0
4,2500,0.4587198182410878,0.4827586206896552,0.43333333333333335,0.4819277108433735,0.46788990825688076,0.46601941747572817,0.42696629213483145,0.494949494949495,0.47674418604651164,0.4470588235294118,0.4166666666666667,0
5,3000,0.4422285481145886,0.4716981132075472,0.44680851063829785,0.4752475247524752,0.45977011494252873,0.46835443037974683,0.3466666666666667,0.5,0.4421052631578947,0.4,0.4326923076923077,0
6,3500,0.45135364207875645,0.4782608695652174,0.42990654205607476,0.4803921568627451,0.4631578947368421,0.4657534246575342,0.3968253968253968,0.49206349206349204,0.46153846153846156,0.43478260869565216,0.42028985507246375,0
7,4000,0.451652705854204,0.4675324675324675,0.425531914893617,0.4823529411764706,0.4838709677419355,0.4444444444444444,0.38,0.5,0.44,0.4533333333333333,0.45161290322580644,0
8,4500,0.4330903360893274,0.4673913043478261,0.425531914893617,0.49166666666666664,0.4583333333333333,0.4418604651162791,0.25862068965517243,0.49122807017543857,0.4835164835164835,0.43373493975903615,0.44,0
9,5000,0.44065475080643923,0.45652173913043476,0.42528735632183906,0.4772727272727273,0.49122807017543857,0.4358974358974359,0.39,0.5,0.4050632911392405,0.4375,0.4025974025974026,0
10,5500,0.4468414908753391,0.4642857142857143,0.4479166666666667,0.45161290322580644,0.48514851485148514,0.42990654205607476,0.42168674698795183,0.4909090909090909,0.4649122807017544,0.43661971830985913,0.3855421686746988,0
11,6000,0.4336894031426009,0.4722222222222222,0.44,0.4935064935064935,0.47674418604651164,0.4215686274509804,0.2903225806451613,0.494949494949495,0.43820224719101125,0.4186046511627907,0.43333333333333335,0
12,6500,0.4111310170738722,0.42168674698795183,0.3855421686746988,0.46153846153846156,0.3978494623655914,0.3953488372093023,0.328125,0.4791666666666667,0.4050632911392405,0.43137254901960786,0.425531914893617,1
13,7000,0.46910774790037824,0.4742268041237113,0.46788990825688076,0.48863636363636365,0.46835443037974683,0.4639175257731959,0.4305555555555556,0.496,0.4536082474226804,0.46808510638297873,0.48314606741573035,0
14,7500,0.48357968616755365,0.48214285714285715,0.48863636363636365,0.4823529411764706,0.4830508474576271,0.4642857142857143,0.4791666666666667,0.5,0.47474747474747475,0.4939759036144578,0.4883720930232558,0
15,8000,0.47992218519165114,0.4891304347826087,0.4845360824742268,0.46875,0.4727272727272727,0.4782608695652174,0.47674418604651164,0.5,0.4752475247524752,0.475,0.47959183673469385,1
16,8500,0.4797087625852077,0.475,0.49523809523809526,0.4461538461538462,0.4787234042553192,0.4942528735632184,0.4639175257731959,0.5,0.4807692307692308,0.47,0.4957983193277311,0
17,9000,0.48333163011224817,0.4803921568627451,0.48905109489051096,0.4625,0.48514851485148514,0.484375,0.4772727272727273,0.4883720930232558,0.48214285714285715,0.49523809523809526,0.4895833333333333,0
18,9500,0.4789737452859813,0.4742268041237113,0.47115384615384615,0.47368421052631576,0.48214285714285715,0.48598130841121495,0.4647887323943662,0.5,0.4666666666666667,0.4864864864864865,0.4857142857142857,0
19,10000,0.4820436318901425,0.48598130841121495,0.5,0.49038461538461536,0.4752475247524752,0.4909090909090909,0.4642857142857143,0.49523809523809526,0.4642857142857143,0.4782608695652174,0.4772727272727273,0
20,10500,0.4821403443081119,0.48484848484848486,0.4880952380952381,0.4909090909090909,0.45652173913043476,0.49504950495049505,0.43820224719101125,0.5,0.4818181818181818,0.5,0.4897959183673469,0
21,11000,0.47959907176348504,0.47368421052631576,0.4803921568627451,0.4888888888888889,0.4824561403508772,0.47674418604651164,0.46236559139784944,0.5,0.46226415094339623,0.49504950495049505,0.47560975609756095,0
22,11500,0.4831845954943802,0.4794520547945205,0.4948453608247423,0.44554455445544555,0.4793388429752066,0.4909090909090909,0.48863636363636365,0.5,0.4666666666666667,0.4942528735632184,0.4948453608247423,0
23,12000,0.47914028034681233,0.4861111111111111,0.4830508474576271,0.4659090909090909,0.4642857142857143,0.4791666666666667,0.47297297297297297,0.5,0.47572815533980584,0.47474747474747475,0.49056603773584906,0
