,idx,accuracy,gmean,class_0,class_1,class_2,class_3,class_4,drifts_alerts
0,500,0.6789297658862876,0.3104098365983242,0.46296296296296297,0.3917525773195876,0.16666666666666666,0.423728813559322,0.225,0
1,1000,0.686,0.33670682551171865,0.4604651162790698,0.39344262295081966,0.1875,0.43529411764705883,0.2926829268292683,0
2,1500,0.726,0.3459110455714365,0.4686192468619247,0.39156626506024095,0.23529411764705882,0.4411764705882353,0.26,0
3,2000,0.71,0.33913345727044847,0.4777777777777778,0.40932642487046633,0.2597402597402597,0.36363636363636365,0.24285714285714285,0
4,2500,0.736,0.325703024344816,0.4878048780487805,0.40588235294117647,0.18181818181818182,0.37333333333333335,0.2727272727272727,0
5,3000,0.732,0.365174385681484,0.47478991596638653,0.38926174496644295,0.2638888888888889,0.43529411764705883,0.3058823529411765,0
6,3500,0.788,0.3891797369227535,0.46835443037974683,0.46596858638743455,0.3,0.4090909090909091,0.3333333333333333,0
7,4000,0.894,0.4502528178382172,0.48590021691973967,0.49344978165938863,0.3707865168539326,0.4875,0.42696629213483145,1
8,4500,0.896,0.4514092030454343,0.48638132295719844,0.4846938775510204,0.4268292682926829,0.4470588235294118,0.4166666666666667,0
9,5000,0.912,0.47128807112244153,0.4767932489451477,0.4911504424778761,0.45977011494252873,0.4642857142857143,0.46511627906976744,0
10,5500,0.92,0.47031269782139,0.4874476987447699,0.4876847290640394,0.44036697247706424,0.4805194805194805,0.4574468085106383,0
11,6000,0.91,0.47080835738850496,0.4786150712830957,0.4891304347826087,0.47368421052631576,0.46808510638297873,0.44565217391304346,0
12,6500,0.928,0.479950800279814,0.4790794979079498,0.4918032786885246,0.47191011235955055,0.48672566371681414,0.47058823529411764,0
13,7000,0.944,0.48359477138897694,0.4865424430641822,0.48514851485148514,0.4854368932038835,0.4897959183673469,0.47126436781609193,0
14,7500,0.924,0.4730860824939815,0.4846153846153846,0.4864864864864865,0.4639175257731959,0.48148148148148145,0.45,0
15,8000,0.918,0.4728477483329295,0.47950819672131145,0.495,0.4421052631578947,0.475,0.4742268041237113,0
16,8500,0.918,0.4722684177869477,0.489749430523918,0.46859903381642515,0.47058823529411764,0.49523809523809526,0.4392523364485981,0
17,9000,0.912,0.47150235065388907,0.4781704781704782,0.48863636363636365,0.4727272727272727,0.49038461538461536,0.43023255813953487,0
18,9500,0.936,0.47831963125484117,0.4861111111111111,0.49444444444444446,0.47368421052631576,0.46226415094339623,0.47572815533980584,0
19,10000,0.924,0.4719935738975414,0.4823529411764706,0.4948453608247423,0.43037974683544306,0.4838709677419355,0.47126436781609193,0
20,10500,0.94,0.4782849132756632,0.4898373983739837,0.489010989010989,0.4672897196261682,0.4897959183673469,0.45652173913043476,0
21,11000,0.91,0.46759856021405605,0.48367346938775513,0.48404255319148937,0.45714285714285713,0.45161290322580644,0.4625,0
22,11500,0.924,0.46763780177204406,0.48627450980392156,0.49743589743589745,0.42168674698795183,0.4634146341463415,0.4731182795698925,0
23,12000,0.934,0.4726062542613616,0.49101796407185627,0.49707602339181284,0.46,0.48,0.4375,0
24,12500,0.948,0.48102552266202403,0.4908675799086758,0.4930875576036866,0.4675324675324675,0.4752475247524752,0.4788732394366197,0
25,13000,0.936,0.4755200427556873,0.4891518737672584,0.4943181818181818,0.4479166666666667,0.4782608695652174,0.46938775510204084,0
26,13500,0.928,0.4671546627798488,0.49586776859504134,0.4803921568627451,0.42696629213483145,0.4791666666666667,0.45652173913043476,0
27,14000,0.936,0.4775899874149496,0.487758945386064,0.48,0.46153846153846156,0.47368421052631576,0.4854368932038835,0
28,14500,0.948,0.47806315051879605,0.49469214437367304,0.495,0.4574468085106383,0.4782608695652174,0.4661016949152542,0
29,15000,0.944,0.47637756080556815,0.49480249480249483,0.4858490566037736,0.4636363636363636,0.47572815533980584,0.4626865671641791,0
30,15500,0.946,0.47527535042753744,0.49673202614379086,0.4931506849315068,0.45977011494252873,0.46078431372549017,0.4672897196261682,0
31,16000,0.964,0.4825103474414144,0.49706457925636005,0.49473684210526314,0.47572815533980584,0.4854368932038835,0.4605263157894737,0
32,16500,0.95,0.4805787151801618,0.49471458773784355,0.4881516587677725,0.4537037037037037,0.4838709677419355,0.4835164835164835,0
33,17000,0.954,0.4772149566842133,0.4978902953586498,0.4927536231884058,0.4606741573033708,0.49137931034482757,0.44565217391304346,1
34,17500,0.964,0.48685792083916274,0.49498997995991983,0.49214659685863876,0.4827586206896552,0.4942528735632184,0.47058823529411764,0
35,18000,0.956,0.4769868355921137,0.49690721649484537,0.497737556561086,0.4430379746835443,0.4835164835164835,0.46601941747572817,0
36,18500,0.954,0.4804212280137488,0.49567099567099565,0.495,0.4716981132075472,0.4864864864864865,0.45454545454545453,0
37,19000,0.966,0.48491364105634627,0.49691991786447637,0.4930875576036866,0.4742268041237113,0.48514851485148514,0.47560975609756095,0
38,19500,0.954,0.485128167922187,0.48879837067209775,0.5,0.48623853211009177,0.4810126582278481,0.4700854700854701,0
39,20000,0.856,0.4617513401490308,0.4523281596452328,0.4797687861271676,0.43956043956043955,0.48412698412698413,0.45454545454545453,0
40,20500,0.648,0.35961248543258145,0.3684210526315789,0.4725274725274725,0.1864406779661017,0.45,0.4117647058823529,1
41,21000,0.742,0.35730196632837385,0.45560747663551404,0.4716981132075472,0.208955223880597,0.45977011494252873,0.28205128205128205,0
42,21500,0.754,0.3190292001833461,0.46555323590814196,0.4791666666666667,0.1746031746031746,0.42424242424242425,0.2,0
43,22000,0.796,0.3754154651532358,0.48,0.47685185185185186,0.2222222222222222,0.475,0.30864197530864196,0
44,22500,0.79,0.36617384342159404,0.47520661157024796,0.4690721649484536,0.22413793103448276,0.47058823529411764,0.28,1
45,23000,0.77,0.3556268676176047,0.4789915966386555,0.45454545454545453,0.18461538461538463,0.46808510638297873,0.3023255813953488,0
46,23500,0.84,0.37121786494234976,0.49193548387096775,0.47959183673469385,0.2037037037037037,0.4473684210526316,0.32786885245901637,0
47,24000,0.898,0.4464206946266613,0.490280777537797,0.4933920704845815,0.35294117647058826,0.4430379746835443,0.46875,0
48,24500,0.904,0.4479254674311091,0.49224806201550386,0.48743718592964824,0.37662337662337664,0.45348837209302323,0.44,1
49,25000,0.934,0.4701992677358224,0.49498997995991983,0.4794520547945205,0.4470588235294118,0.4827586206896552,0.44871794871794873,0
50,25500,0.916,0.4599689449691629,0.49173553719008267,0.49514563106796117,0.4158415841584158,0.44285714285714284,0.45918367346938777,0
51,26000,0.922,0.4638463100847292,0.49193548387096775,0.49206349206349204,0.4090909090909091,0.4673913043478261,0.4639175257731959,0
52,26500,0.936,0.47386980442711557,0.49183673469387756,0.489010989010989,0.4523809523809524,0.4782608695652174,0.45918367346938777,0
53,27000,0.932,0.4635334072905545,0.4939516129032258,0.5,0.4,0.4845360824742268,0.4470588235294118,0
54,27500,0.916,0.4515356459304223,0.4962264150943396,0.4918918918918919,0.3793103448275862,0.48148148148148145,0.42105263157894735,0
55,28000,0.918,0.4582114495494992,0.494,0.49019607843137253,0.39080459770114945,0.4675324675324675,0.45652173913043476,0
56,28500,0.906,0.4658317445182324,0.4837962962962963,0.4858490566037736,0.4270833333333333,0.47,0.4649122807017544,0
57,29000,0.95,0.47707102010111785,0.49498997995991983,0.5,0.43564356435643564,0.49038461538461536,0.4673913043478261,0
58,29500,0.922,0.4616762998596219,0.4931506849315068,0.4858757062146893,0.4142857142857143,0.4766355140186916,0.44329896907216493,0
59,30000,0.942,0.47309015922661957,0.49333333333333335,0.49214659685863876,0.46987951807228917,0.4673913043478261,0.4444444444444444,0
60,30500,0.932,0.4705271780248688,0.4959349593495935,0.4808743169398907,0.4519230769230769,0.46875,0.45652173913043476,0
61,31000,0.93,0.46511362912418935,0.49502982107355864,0.4946808510638298,0.43,0.4742268041237113,0.4358974358974359,0
62,31500,0.934,0.465010806261938,0.49619771863117873,0.4896907216494845,0.45977011494252873,0.44871794871794873,0.43373493975903615,0
63,32000,0.928,0.46540572067148045,0.49504950495049505,0.4939759036144578,0.41304347826086957,0.4803921568627451,0.45,0
64,32500,0.944,0.4710084242967945,0.49658314350797267,0.4955357142857143,0.4166666666666667,0.47959183673469385,0.4714285714285714,0
65,33000,0.936,0.46918399597564225,0.49514563106796117,0.49411764705882355,0.4222222222222222,0.47368421052631576,0.46464646464646464,0
66,33500,0.936,0.4659379176901491,0.49586776859504134,0.49528301886792453,0.39080459770114945,0.4842105263157895,0.4725274725274725,0
67,34000,0.944,0.4677080558661313,0.4962962962962963,0.49444444444444446,0.423728813559322,0.46875,0.45918367346938777,0
68,34500,0.944,0.4731139679132956,0.49682875264270615,0.4975369458128079,0.4418604651162791,0.4782608695652174,0.453781512605042,0
69,35000,0.952,0.4751179317268709,0.5,0.49295774647887325,0.45689655172413796,0.46464646464646464,0.4626865671641791,0
70,35500,0.96,0.47926195819984657,0.4989293361884368,0.5,0.47058823529411764,0.4666666666666667,0.46153846153846156,0
71,36000,0.966,0.486752957167407,0.49404761904761907,0.4948453608247423,0.47058823529411764,0.5,0.475,0
72,36500,0.954,0.47811024453423856,0.4978902953586498,0.49528301886792453,0.46017699115044247,0.4725274725274725,0.4659090909090909,0
73,37000,0.954,0.4754711526488687,0.4979166666666667,0.4975845410628019,0.4470588235294118,0.48695652173913045,0.45054945054945056,0
74,37500,0.954,0.48090388400675016,0.4959514170040486,0.4896907216494845,0.47126436781609193,0.4827586206896552,0.46551724137931033,0
75,38000,0.946,0.472524530886576,0.4948875255623722,0.5,0.44871794871794873,0.47619047619047616,0.44554455445544555,0
76,38500,0.952,0.4793114128594059,0.49892008639308855,0.4869109947643979,0.4722222222222222,0.4732142857142857,0.46601941747572817,0
77,39000,0.962,0.482896597135609,0.49793388429752067,0.4885844748858447,0.4742268041237113,0.48514851485148514,0.4691358024691358,1
78,39500,0.954,0.48113973982635294,0.49500998003992014,0.4943820224719101,0.46601941747572817,0.48148148148148145,0.46956521739130436,0
79,40000,0.91,0.46473775158978714,0.49382716049382713,0.4457831325301205,0.42696629213483145,0.4715447154471545,0.4891304347826087,0
80,40500,0.752,0.31666174547453346,0.4969939879759519,0.1592920353982301,0.1724137931034483,0.48598130841121495,0.48,1
81,41000,0.77,0.30644516507383907,0.4967741935483871,0.32335329341317365,0.07142857142857142,0.4946236559139785,0.47619047619047616,0
82,41500,0.826,0.4139449186676302,0.49304174950298213,0.37735849056603776,0.34146341463414637,0.48623853211009177,0.39344262295081966,0
83,42000,0.83,0.42614075963241344,0.4967741935483871,0.4,0.367816091954023,0.46835443037974683,0.4105263157894737,0
84,42500,0.88,0.4399343436078507,0.4980392156862745,0.4147727272727273,0.34782608695652173,0.4943820224719101,0.4639175257731959,1
85,43000,0.9,0.45796351596125784,0.4968944099378882,0.4451219512195122,0.425531914893617,0.48484848484848486,0.44144144144144143,0
86,43500,0.888,0.4430577303693415,0.4980392156862745,0.42528735632183906,0.38571428571428573,0.48760330578512395,0.42857142857142855,0
87,44000,0.892,0.45466366201812236,0.49786324786324787,0.4444444444444444,0.40217391304347827,0.4823529411764706,0.45263157894736844,0
88,44500,0.938,0.47473091017472474,0.49809160305343514,0.455026455026455,0.4777777777777778,0.4835164835164835,0.4605263157894737,0
89,45000,0.928,0.4717818251315958,0.4980237154150198,0.44776119402985076,0.4777777777777778,0.4888888888888889,0.44871794871794873,0
90,45500,0.928,0.47280115098778464,0.49382716049382713,0.4642857142857143,0.48695652173913045,0.48,0.44086021505376344,0
91,46000,0.93,0.4700667551663053,0.49700598802395207,0.4689265536723164,0.47,0.4666666666666667,0.4489795918367347,0
92,46500,0.948,0.4779416300391718,0.49899396378269617,0.4725274725274725,0.4772727272727273,0.47413793103448276,0.4673913043478261,1
93,47000,0.95,0.4821043952413265,0.4970178926441352,0.46236559139784944,0.49504950495049505,0.4838709677419355,0.4731182795698925,0
94,47500,0.948,0.478586400464069,0.497131931166348,0.46703296703296704,0.49056603773584906,0.48148148148148145,0.4578313253012048,0
95,48000,0.95,0.47909607766645734,0.4980237154150198,0.4742268041237113,0.48484848484848486,0.4880952380952381,0.45161290322580644,0
96,48500,0.924,0.47282602955357156,0.4965986394557823,0.45544554455445546,0.49557522123893805,0.48,0.4392523364485981,0
97,49000,0.936,0.475379660601748,0.49800796812749004,0.4457831325301205,0.4807692307692308,0.4807692307692308,0.4731182795698925,0
98,49500,0.968,0.4885873486341797,0.4951267056530214,0.4887640449438202,0.49411764705882355,0.4954128440366973,0.47,0
99,50000,0.95,0.48217511794849405,0.4961832061068702,0.46111111111111114,0.4883720930232558,0.494949494949495,0.47126436781609193,0
100,50500,0.956,0.48268161713170127,0.49696969696969695,0.48066298342541436,0.4672897196261682,0.494949494949495,0.4742268041237113,0
101,51000,0.95,0.4808641569455739,0.49902152641878667,0.45454545454545453,0.48598130841121495,0.4897959183673469,0.47619047619047616,0
102,51500,0.956,0.48026112518148456,0.4981060606060606,0.4787234042553192,0.4838709677419355,0.46987951807228917,0.47126436781609193,0
103,52000,0.946,0.4763874152419129,0.4980392156862745,0.47770700636942676,0.46078431372549017,0.47,0.47619047619047616,0
104,52500,0.938,0.4794678804829521,0.4988558352402746,0.46226415094339623,0.4880952380952381,0.49019607843137253,0.45925925925925926,0
105,53000,0.944,0.4774720334257785,0.49707602339181284,0.4666666666666667,0.48,0.4782608695652174,0.46601941747572817,0
106,53500,0.962,0.4835655326395929,0.49897750511247446,0.4827586206896552,0.4854368932038835,0.4845360824742268,0.4666666666666667,0
107,54000,0.958,0.4854352435647822,0.4962962962962963,0.4619883040935672,0.484375,0.49514563106796117,0.49019607843137253,0
108,54500,0.952,0.4813201611053469,0.5,0.4690721649484536,0.4731182795698925,0.4888888888888889,0.47619047619047616,0
109,55000,0.96,0.4842800729351228,0.4989733059548255,0.4723618090452261,0.4918032786885246,0.4811320754716981,0.47761194029850745,0
110,55500,0.94,0.4747651105894369,0.5,0.4744186046511628,0.48863636363636365,0.4716981132075472,0.4411764705882353,0
111,56000,0.966,0.48610943562149406,0.4970873786407767,0.48066298342541436,0.49074074074074076,0.49514563106796117,0.4675324675324675,0
112,56500,0.946,0.4781062777068834,0.4989429175475687,0.470873786407767,0.4782608695652174,0.4891304347826087,0.45454545454545453,0
113,57000,0.95,0.4784786622109329,0.5,0.4752475247524752,0.4725274725274725,0.4778761061946903,0.4673913043478261,0
114,57500,0.96,0.48447035043890085,0.499009900990099,0.47540983606557374,0.4945054945054945,0.4943820224719101,0.46017699115044247,0
115,58000,0.956,0.48478879202060765,0.49690721649484537,0.47641509433962265,0.5,0.48863636363636365,0.46296296296296297,0
116,58500,0.958,0.4842789869473564,0.4956521739130435,0.48717948717948717,0.49557522123893805,0.46788990825688076,0.47572815533980584,0
117,59000,0.956,0.4853426456876774,0.4968944099378882,0.46919431279620855,0.49504950495049505,0.49,0.47619047619047616,0
118,59500,0.96,0.48348587941755367,0.499009900990099,0.4797687861271676,0.4811320754716981,0.5,0.45871559633027525,0
119,60000,0.914,0.4643393772527494,0.49796747967479676,0.43209876543209874,0.4791666666666667,0.4793388429752066,0.4367816091954023,0
120,60500,0.746,0.2929303770543346,0.4969939879759519,0.21311475409836064,0.4835164835164835,0.4716981132075472,0.08928571428571429,1
121,61000,0.71,0.30276138820119275,0.49783549783549785,0.2097902097902098,0.47572815533980584,0.45348837209302323,0.11290322580645161,0
122,61500,0.814,0.38892447817673403,0.4931237721021611,0.30935251798561153,0.49038461538461536,0.4666666666666667,0.2549019607843137,0
123,62000,0.794,0.39966332013756295,0.49567099567099565,0.3333333333333333,0.4807692307692308,0.4878048780487805,0.2631578947368421,0
124,62500,0.848,0.43141523462038045,0.497029702970297,0.36419753086419754,0.48314606741573035,0.4772727272727273,0.35802469135802467,0
125,63000,0.844,0.42314636373301445,0.49795918367346936,0.3724137931034483,0.4857142857142857,0.4787234042553192,0.3146067415730337,1
126,63500,0.868,0.4394435113723761,0.49706457925636005,0.37012987012987014,0.47560975609756095,0.47540983606557374,0.3939393939393939,0
127,64000,0.864,0.4390297502166406,0.4956896551724138,0.4207920792079208,0.4807692307692308,0.4819277108433735,0.3375,0
128,64500,0.908,0.4570135899361703,0.49320388349514566,0.4635416666666667,0.4673913043478261,0.45977011494252873,0.4057971014492754,0
