,idx,G-Mean,class-0,class-1,class-2,class-3,class-4,drifts_alerts
0,500,0.0,0.019230769230769232,0.0,0.046875,0.09090909090909091,0.08450704225352113,0
1,1000,0.0,0.0,0.022727272727272728,0.01834862385321101,0.07377049180327869,0.08620689655172414,0
2,1500,0.026806767095334263,0.009433962264150943,0.038461538461538464,0.01,0.05504587155963303,0.06930693069306931,0
3,2000,0.0,0.0,0.038461538461538464,0.045871559633027525,0.09090909090909091,0.0594059405940594,0
4,2500,0.037797165373460735,0.02040816326530612,0.028846153846153848,0.03636363636363636,0.05,0.07207207207207207,0
5,3000,0.0,0.0,0.038461538461538464,0.010869565217391304,0.07766990291262135,0.11570247933884298,1
6,3500,0.0,0.0,0.037037037037037035,0.0375,0.0782608695652174,0.09482758620689655,2
7,4000,0.030041025239542184,0.020618556701030927,0.010752688172043012,0.02608695652173913,0.05982905982905983,0.0707070707070707,2
8,4500,0.0,0.0,0.008771929824561403,0.010869565217391304,0.07894736842105263,0.05319148936170213,0
9,5000,0.0,0.0,0.037037037037037035,0.009433962264150943,0.04716981132075472,0.08080808080808081,0
10,5500,0.0,0.0,0.022727272727272728,0.018018018018018018,0.04878048780487805,0.08080808080808081,0
11,6000,0.02555103609836485,0.008771929824561403,0.011764705882352941,0.037383177570093455,0.038461538461538464,0.07339449541284404,0
12,6500,0.0,0.0,0.010101010101010102,0.020618556701030927,0.049019607843137254,0.06666666666666667,0
13,7000,0.0,0.0,0.02247191011235955,0.010638297872340425,0.072,0.02040816326530612,0
14,7500,0.0,0.0,0.03669724770642202,0.02654867256637168,0.039603960396039604,0.07526881720430108,0
15,8000,0.029445239455052324,0.01020408163265306,0.00909090909090909,0.021052631578947368,0.09917355371900827,0.11428571428571428,0
16,8500,0.0,0.010416666666666666,0.0,0.04950495049504951,0.0743801652892562,0.10317460317460317,0
17,9000,0.0,0.0,0.020618556701030927,0.0125,0.06422018348623854,0.10526315789473684,0
18,9500,0.0,0.0,0.010101010101010102,0.03125,0.06060606060606061,0.034782608695652174,0
19,10000,0.0,0.0,0.009345794392523364,0.056074766355140186,0.04854368932038835,0.050505050505050504,0
20,10500,0.0,0.0,0.018518518518518517,0.019417475728155338,0.02912621359223301,0.07407407407407407,0
21,11000,0.0,0.0,0.0,0.010416666666666666,0.037037037037037035,0.010526315789473684,0
22,11500,0.0,0.0,0.032520325203252036,0.019417475728155338,0.07339449541284404,0.03125,0
23,12000,0.0,0.0,0.01834862385321101,0.02197802197802198,0.07339449541284404,0.03636363636363636,1
24,12500,0.0,0.0,0.030612244897959183,0.0392156862745098,0.06060606060606061,0.08633093525179857,0
25,13000,0.02427150701471349,0.008403361344537815,0.010869565217391304,0.021505376344086023,0.04716981132075472,0.09090909090909091,0
26,13500,0.0,0.0,0.030612244897959183,0.009708737864077669,0.02830188679245283,0.038461538461538464,0
27,14000,0.0,0.0,0.009259259259259259,0.018691588785046728,0.08235294117647059,0.08035714285714286,0
28,14500,0.0,0.0,0.0,0.010526315789473684,0.05504587155963303,0.08264462809917356,0
29,15000,0.0,0.0,0.031578947368421054,0.04504504504504504,0.13934426229508196,0.1,0
30,15500,0.0,0.0,0.03488372093023256,0.03669724770642202,0.09565217391304348,0.06666666666666667,0
31,16000,0.0,0.0,0.010752688172043012,0.037383177570093455,0.07476635514018691,0.06,0
32,16500,0.0,0.0,0.030612244897959183,0.010101010101010102,0.075,0.08653846153846154,0
33,17000,0.0,0.0,0.0,0.03636363636363636,0.09900990099009901,0.07563025210084033,0
34,17500,0.0,0.0,0.02564102564102564,0.010752688172043012,0.06521739130434782,0.044642857142857144,0
35,18000,0.0,0.0,0.031914893617021274,0.010416666666666666,0.08196721311475409,0.08108108108108109,0
36,18500,0.0,0.0,0.03571428571428571,0.011111111111111112,0.0847457627118644,0.059322033898305086,0
37,19000,0.022984644361633364,0.011235955056179775,0.010101010101010102,0.007936507936507936,0.06862745098039216,0.10377358490566038,0
38,19500,0.0,0.0,0.036585365853658534,0.01904761904761905,0.04081632653061224,0.09565217391304348,0
39,20000,0.0,0.0,0.0,0.07272727272727272,0.0380952380952381,0.06896551724137931,0
40,20500,0.0,0.008695652173913044,0.0,0.010526315789473684,0.04878048780487805,0.08771929824561403,0
41,21000,0.0,0.0,0.011235955056179775,0.037037037037037035,0.09401709401709402,0.08620689655172414,0
42,21500,0.0,0.0,0.046296296296296294,0.0,0.06796116504854369,0.0970873786407767,0
43,22000,0.0,0.0,0.010526315789473684,0.03305785123966942,0.06779661016949153,0.1415929203539823,0
44,22500,0.0,0.0,0.008771929824561403,0.0,0.04672897196261682,0.07547169811320754,0
45,23000,0.0,0.0,0.019801980198019802,0.0392156862745098,0.0784313725490196,0.06930693069306931,0
46,23500,0.0,0.0,0.00980392156862745,0.008928571428571428,0.058823529411764705,0.03225806451612903,0
47,24000,0.03911083730032476,0.018691588785046728,0.02127659574468085,0.019417475728155338,0.09734513274336283,0.12173913043478261,0
48,24500,0.0,0.0,0.008771929824561403,0.020618556701030927,0.09090909090909091,0.0975609756097561,0
49,25000,0.0,0.0,0.008928571428571428,0.03773584905660377,0.050505050505050504,0.09243697478991597,0
50,25500,0.0,0.0,0.018867924528301886,0.02197802197802198,0.08333333333333333,0.09322033898305085,0
51,26000,0.0,0.0,0.018518518518518517,0.02830188679245283,0.06666666666666667,0.09523809523809523,0
52,26500,0.04611717538766641,0.022988505747126436,0.018018018018018018,0.042735042735042736,0.10101010101010101,0.11666666666666667,0
