,idx,G-Mean,class-0,class-1,class-2,class-3,class-4,class-5,class-6,class-7,class-8,class-9,drifts_alerts
0,500,0.4211301396188314,0.4782608695652174,0.38636363636363635,0.4444444444444444,0.4634146341463415,0.4666666666666667,0.2926829268292683,0.4915254237288136,0.4339622641509434,0.40350877192982454,0.39215686274509803,0
1,1000,0.44245561325710725,0.46835443037974683,0.45977011494252873,0.4578313253012048,0.4675324675324675,0.4519230769230769,0.4117647058823529,0.5,0.4222222222222222,0.4146341463414634,0.3829787234042553,0
2,1500,0.4404982223943419,0.45714285714285713,0.4666666666666667,0.46835443037974683,0.44761904761904764,0.4673913043478261,0.358974358974359,0.5,0.42857142857142855,0.42424242424242425,0.4032258064516129,0
3,2000,0.4483168945309279,0.4819277108433735,0.43023255813953487,0.4777777777777778,0.46464646464646464,0.47560975609756095,0.41346153846153844,0.49523809523809526,0.46226415094339623,0.391304347826087,0.4044943820224719,0
4,2500,0.4604810985486755,0.4827586206896552,0.43333333333333335,0.4819277108433735,0.4727272727272727,0.46601941747572817,0.42696629213483145,0.494949494949495,0.47674418604651164,0.45977011494252873,0.4166666666666667,0
5,3000,0.4416312603956238,0.4716981132075472,0.44680851063829785,0.4752475247524752,0.45977011494252873,0.46835443037974683,0.3466666666666667,0.5,0.43617021276595747,0.4,0.4326923076923077,0
6,3500,0.4505090322225544,0.4725274725274725,0.42452830188679247,0.4803921568627451,0.4631578947368421,0.4583333333333333,0.3968253968253968,0.49206349206349204,0.46153846153846156,0.4444444444444444,0.42028985507246375,0
7,4000,0.45166639817711723,0.4605263157894737,0.41935483870967744,0.4883720930232558,0.4838709677419355,0.43820224719101125,0.38613861386138615,0.5,0.44,0.4605263157894737,0.45161290322580644,0
8,4500,0.4403311240117199,0.4787234042553192,0.44329896907216493,0.49166666666666664,0.4583333333333333,0.4418604651162791,0.2711864406779661,0.4956521739130435,0.4835164835164835,0.45348837209302323,0.44,0
9,5000,0.44075776444132103,0.45652173913043476,0.4318181818181818,0.48314606741573035,0.48672566371681414,0.4358974358974359,0.3838383838383838,0.5,0.4050632911392405,0.4375,0.4025974025974026,0
10,5500,0.4444798400905006,0.4642857142857143,0.4479166666666667,0.45161290322580644,0.47474747474747475,0.42452830188679247,0.4146341463414634,0.4909090909090909,0.4649122807017544,0.4444444444444444,0.3780487804878049,0
11,6000,0.43038243501419143,0.4672897196261682,0.44,0.4868421052631579,0.47674418604651164,0.41,0.2786885245901639,0.494949494949495,0.43820224719101125,0.4318181818181818,0.42696629213483145,0
12,6500,0.43637107890813387,0.43529411764705883,0.43333333333333335,0.45454545454545453,0.422680412371134,0.44086021505376344,0.37681159420289856,0.4897959183673469,0.4125,0.4423076923076923,0.46534653465346537,2
13,7000,0.47625740602498556,0.46875,0.4774774774774775,0.48863636363636365,0.48148148148148145,0.46938775510204084,0.4605263157894737,0.496,0.46464646464646464,0.47368421052631576,0.48314606741573035,0
14,7500,0.48389412454068365,0.48214285714285715,0.48863636363636365,0.4823529411764706,0.48739495798319327,0.4690265486725664,0.4845360824742268,0.5,0.46938775510204084,0.4939759036144578,0.4823529411764706,0
15,8000,0.48505463427841466,0.4946236559139785,0.494949494949495,0.49,0.4727272727272727,0.4838709677419355,0.4943820224719101,0.5,0.47,0.46153846153846156,0.49,0
16,8500,0.48285250640011185,0.48148148148148145,0.49523809523809526,0.4626865671641791,0.4842105263157895,0.5,0.47474747474747475,0.5,0.47572815533980584,0.46464646464646464,0.4915254237288136,0
17,9000,0.48625421197938984,0.4854368932038835,0.4927536231884058,0.47560975609756095,0.48,0.484375,0.4888888888888889,0.4883720930232558,0.4774774774774775,0.49523809523809526,0.4948453608247423,0
18,9500,0.48239645821699295,0.47959183673469385,0.4811320754716981,0.4805194805194805,0.48214285714285715,0.49074074074074076,0.4647887323943662,0.5,0.47368421052631576,0.4864864864864865,0.4857142857142857,0
19,10000,0.4854881635468178,0.4811320754716981,0.5,0.49523809523809526,0.4803921568627451,0.4909090909090909,0.47058823529411764,0.49523809523809526,0.4642857142857143,0.4838709677419355,0.4945054945054945,0
20,10500,0.4832079636320545,0.49,0.49411764705882355,0.48623853211009177,0.4791666666666667,0.49504950495049505,0.42528735632183906,0.5,0.4722222222222222,0.5,0.494949494949495,0
21,11000,0.4807957552929939,0.47368421052631576,0.4854368932038835,0.48314606741573035,0.4824561403508772,0.47058823529411764,0.47368421052631576,0.4946236559139785,0.46226415094339623,0.49504950495049505,0.4880952380952381,0
22,11500,0.4829348934971201,0.4722222222222222,0.5,0.4666666666666667,0.475,0.4909090909090909,0.47674418604651164,0.5,0.4606741573033708,0.4942528735632184,0.4948453608247423,0
23,12000,0.48287765775389524,0.4861111111111111,0.48739495798319327,0.4777777777777778,0.4782608695652174,0.4791666666666667,0.48,0.5,0.4807692307692308,0.46938775510204084,0.49056603773584906,0
24,12500,0.4761762622625834,0.4647887323943662,0.4791666666666667,0.48148148148148145,0.4803921568627451,0.4805194805194805,0.44761904761904764,0.48514851485148514,0.4810126582278481,0.4803921568627451,0.4825174825174825,0
25,13000,0.48075658026668416,0.5,0.488,0.48717948717948717,0.4631578947368421,0.4897959183673469,0.4533333333333333,0.49473684210526314,0.47,0.4782608695652174,0.48514851485148514,0
26,13500,0.48496355302452976,0.49038461538461536,0.48936170212765956,0.5,0.4895833333333333,0.49473684210526314,0.45454545454545453,0.49514563106796117,0.46875,0.4791666666666667,0.4897959183673469,0
27,14000,0.47748136502218463,0.4864864864864865,0.4631578947368421,0.4766355140186916,0.49,0.49107142857142855,0.45454545454545453,0.49411764705882355,0.46153846153846156,0.47368421052631576,0.4854368932038835,0
28,14500,0.4773868162113183,0.47560975609756095,0.4838709677419355,0.4915254237288136,0.48148148148148145,0.4642857142857143,0.46153846153846156,0.49514563106796117,0.44565217391304346,0.48936170212765956,0.4878048780487805,0
29,15000,0.4848667803786677,0.4727272727272727,0.5,0.49473684210526314,0.46987951807228917,0.4880952380952381,0.4878048780487805,0.4945054945054945,0.4778761061946903,0.4857142857142857,0.4782608695652174,0
30,15500,0.48179741693992467,0.4827586206896552,0.49514563106796117,0.4925373134328358,0.4731182795698925,0.49,0.45454545454545453,0.49557522123893805,0.4777777777777778,0.47619047619047616,0.4818181818181818,0
31,16000,0.4802620780026883,0.47474747474747475,0.48739495798319327,0.4842105263157895,0.45569620253164556,0.47474747474747475,0.49504950495049505,0.4827586206896552,0.46534653465346537,0.49038461538461536,0.49382716049382713,0
32,16500,0.4872373766772431,0.49107142857142855,0.5,0.5,0.48148148148148145,0.48148148148148145,0.4666666666666667,0.49514563106796117,0.4636363636363636,0.5,0.4946236559139785,0
33,17000,0.487635294764967,0.48717948717948717,0.49019607843137253,0.49411764705882355,0.4868421052631579,0.4942528735632184,0.4918032786885246,0.49411764705882355,0.4666666666666667,0.48695652173913045,0.48484848484848486,0
34,17500,0.48049923831640046,0.4811320754716981,0.5,0.4954954954954955,0.4774774774774775,0.49295774647887325,0.4716981132075472,0.49382716049382713,0.4642857142857143,0.4358974358974359,0.496,0
